id,fid,h_id,a_id,date,league_id,season,h_goals,a_goals,team_h,team_a,h_xg,a_xg,h_w,h_d,h_l,league,h_shot,a_shot,h_shotOnTarget,a_shotOnTarget,h_deep,a_deep,h_ppda,a_ppda
143,959799,85,73,26/09/2015 18:00,1,2015,2,1,Stoke,Bournemouth,1.94483,0.871678,0.6734,0.2181,0.1085,EPL,8,12,5,6,3,8,10.4286,9.95
144,959794,75,83,26/09/2015 18:00,1,2015,2,5,Leicester,Arsenal,1.38516,3.89623,0.0518,0.0888,0.8594,EPL,16,27,7,12,8,17,10.3333,6.7727
145,959795,87,71,26/09/2015 18:00,1,2015,3,2,Liverpool,Aston Villa,1.78331,0.892054,0.5951,0.2444,0.1605,EPL,21,10,12,4,11,2,7.4138,26.4167
146,959796,89,77,26/09/2015 18:00,1,2015,3,0,Manchester United,Sunderland,2.8971,0.832139,0.8918,0.0905,0.0177,EPL,12,9,7,4,6,1,6.4286,22
147,959803,81,79,26/09/2015 18:00,1,2015,2,2,West Ham,Norwich,2.60407,1.38603,0.6699,0.1845,0.1456,EPL,19,16,7,7,9,3,9,6.7308
148,959797,86,80,26/09/2015 20:30,1,2015,2,2,Newcastle United,Chelsea,0.702109,1.30593,0.1859,0.291,0.5231,EPL,11,16,5,4,2,8,11.125,4.2
149,959801,90,78,27/09/2015 19:00,1,2015,0,1,Watford,Crystal Palace,0.685939,2.33566,0.0569,0.1435,0.7996,EPL,15,16,2,3,9,2,9.625,8.7727
150,959802,76,72,28/09/2015 23:00,1,2015,2,3,West Bromwich Albion,Everton,1.27511,2.30159,0.1438,0.2157,0.6405,EPL,9,12,4,4,6,5,11,9.6
151,959808,78,76,03/10/2015 15:45,1,2015,2,0,Crystal Palace,West Bromwich Albion,1.99083,0.255528,0.8739,0.1063,0.0198,EPL,21,7,8,2,3,1,4.2,10.5238
152,959805,71,85,03/10/2015 18:00,1,2015,0,1,Aston Villa,Stoke,0.839028,1.03499,0.2754,0.3399,0.3847,EPL,13,12,2,5,7,3,7.6333,8.3226
153,959806,73,90,03/10/2015 18:00,1,2015,1,1,Bournemouth,Watford,1.50268,0.913291,0.5344,0.2944,0.1712,EPL,12,11,6,2,1,3,11.9444,9.8846
154,959810,88,86,03/10/2015 18:00,1,2015,6,1,Manchester City,Newcastle United,3.3346,0.980279,0.8752,0.0868,0.038,EPL,23,6,11,4,14,3,5.4848,22.5455
